SERVIÇO;OPERADORA;ESTADO;TEMA;ALTERNATIVAS;CALCULO;2015;2016
SCM;Oi;CE;Capacidade de manter a conexão sem quedas;Nota 6;Percentual;6,234000;5,243446
SCM;Oi;CE;Capacidade de manter a conexão sem quedas;Nota 7;Percentual;11,721000;10,112360
SCM;Oi;CE;Capacidade de manter a conexão sem quedas;Nota 8;Percentual;15,212000;16,853933
SCM;Oi;CE;Capacidade de manter a conexão sem quedas;Nota 9;Percentual;9,726000;10,861423
SCM;Oi;CE;Capacidade de manter a conexão sem quedas;10.Excelente;Percentual;10,474000;7,490637
SCM;Oi;CE;Capacidade de manter a conexão sem quedas;99. NS/ NR;Percentual;0,000000;0,749064
SCM;Oi;CE;Velocidade de navegação;Média;Média Ponderada;5,493766;5,369811
SCM;Oi;CE;Velocidade de navegação;;Amostra não ponderada;401,000000;267,000000
SCM;Oi;CE;Velocidade de navegação;0.Péssimo;Percentual;9,476000;12,359551
SCM;Oi;CE;Velocidade de navegação;Nota 1;Percentual;1,995000;2,247191
SCM;Oi;CE;Velocidade de navegação;Nota 2;Percentual;6,484000;5,992509
SCM;Oi;CE;Velocidade de navegação;Nota 3;Percentual;6,983000;6,741573
SCM;Oi;CE;Velocidade de navegação;Nota 4;Percentual;7,731000;5,243446
SCM;Oi;CE;Velocidade de navegação;Nota 5;Percentual;16,459000;15,355805
SCM;Oi;CE;Velocidade de navegação;Nota 6;Percentual;9,227000;7,865169
SCM;Oi;CE;Velocidade de navegação;Nota 7;Percentual;11,970000;12,359551
SCM;Oi;CE;Velocidade de navegação;Nota 8;Percentual;14,214000;19,101124
SCM;Oi;CE;Velocidade de navegação;Nota 9;Percentual;7,232000;5,617978
SCM;Oi;CE;Velocidade de navegação;10.Excelente;Percentual;8,229000;6,367041
SCM;Oi;CE;Velocidade de navegação;99. NS/ NR;Percentual;0,000000;0,749064
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;Média;Média Ponderada;5,967419;5,973684
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;;Amostra não ponderada;401,000000;267,000000
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;0.Péssimo;Percentual;10,973000;11,985019
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;Nota 1;Percentual;1,496000;1,498127
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;Nota 2;Percentual;3,990000;4,868914
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;Nota 3;Percentual;3,741000;4,119850
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;Nota 4;Percentual;5,237000;3,745318
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;Nota 5;Percentual;15,212000;9,363296
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;Nota 6;Percentual;6,983000;10,861423
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;Nota 7;Percentual;14,464000;12,734082
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;Nota 8;Percentual;16,459000;20,599251
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;Nota 9;Percentual;8,229000;7,865169
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;10.Excelente;Percentual;12,718000;11,985019
SCM;Oi;CE;Cobrança dos valores na conta de acordo com o contratado;99. NS/ NR;Percentual;0,499000;0,374532
SCM;Oi;CE;Indicador de Cobrança;Cobrança;Média Indicadores;6,253133;6,275281
SCM;Oi;CE;Indicador de Cobrança;;Amostra não ponderada;399,000000;267,000000
SCM;Oi;CE;Clareza das informações na conta;;Amostra não ponderada;401,000000;267,000000
SCM;Oi;CE;Clareza das informações na conta;Média;Média Ponderada;6,538847;6,593985
SCM;Oi;CE;Clareza das informações na conta;0.Péssimo;Percentual;6,733000;8,988764
SCM;Oi;CE;Clareza das informações na conta;Nota 1;Percentual;0,748000;1,498127
SCM;Oi;CE;Clareza das informações na conta;Nota 2;Percentual;3,990000;1,498127
SCM;Oi;CE;Clareza das informações na conta;Nota 3;Percentual;3,242000;3,745318
SCM;Oi;CE;Clareza das informações na conta;Nota 4;Percentual;4,239000;4,868914
SCM;Oi;CE;Clareza das informações na conta;Nota 5;Percentual;14,214000;10,861423
SCM;Oi;CE;Clareza das informações na conta;Nota 6;Percentual;7,481000;8,614232
SCM;Oi;CE;Clareza das informações na conta;Nota 7;Percentual;14,464000;11,235955
SCM;Oi;CE;Clareza das informações na conta;Nota 8;Percentual;18,204000;17,977528
SCM;Oi;CE;Clareza das informações na conta;Nota 9;Percentual;9,476000;10,112360
SCM;Oi;CE;Clareza das informações na conta;10.Excelente;Percentual;16,708000;20,224719
SCM;Oi;CE;Clareza das informações na conta;99. NS/ NR;Percentual;0,499000;0,374532
SCM;Oi;CE;Contato sobre cobrança;;Amostra não ponderada;401,000000;267,000000
SCM;Oi;CE;Contato sobre cobrança;1.Sim;Percentual;63,342000;65,168539
SCM;Oi;CE;Contato sobre cobrança;2.Não;Percentual;36,658000;34,831461
SCM;Oi;CE;Resolução do problema de cobrança;Média;Média Ponderada;4,905512;4,913295
SCM;Oi;CE;Resolução do problema de cobrança;;Amostra não ponderada;254,000000;174,000000
SCM;Oi;CE;Resolução do problema de cobrança;0.Péssimo;Percentual;20,866000;21,264368
SCM;Oi;CE;Resolução do problema de cobrança;Nota 1;Percentual;0,787000;2,298851
SCM;Oi;CE;Resolução do problema de cobrança;Nota 2;Percentual;5,512000;2,873563
SCM;Oi;CE;Resolução do problema de cobrança;Nota 3;Percentual;6,693000;3,448276
SCM;Oi;CE;Resolução do problema de cobrança;Nota 4;Percentual;4,724000;8,045977
SCM;Oi;CE;Resolução do problema de cobrança;Nota 5;Percentual;13,780000;17,241379
SCM;Oi;CE;Resolução do problema de cobrança;Nota 6;Percentual;10,236000;5,747126
SCM;Oi;CE;Resolução do problema de cobrança;Nota 7;Percentual;9,055000;12,068966
SCM;Oi;CE;Resolução do problema de cobrança;Nota 8;Percentual;16,142000;13,793103
SCM;Oi;CE;Resolução do problema de cobrança;Nota 9;Percentual;5,118000;4,022989
SCM;Oi;CE;Resolução do problema de cobrança;10.Excelente;Percentual;7,087000;8,620690
SCM;Oi;CE;Resolução do problema de cobrança;99. NS/ NR;Percentual;0,000000;0,574713
SCM;Oi;CE;Indicador de Capacidade de Resolução;Capacidade de resolução;Média Indicadores;5,048658;5,300000
SCM;Oi;CE;Indicador de Capacidade de Resolução;;Amostra não ponderada;298,000000;200,000000
SCM;Oi;CE;Contato para alterar plano ou condição comercial;;Amostra não ponderada;401,000000;267,000000
SCM;Oi;CE;Contato para alterar plano ou condição comercial;1.Sim;Percentual;41,646000;46,067416
SCM;Oi;CE;Contato para alterar plano ou condição comercial;2.Não;Percentual;58,354000;53,932584
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;;Amostra não ponderada;167,000000;123,000000
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;Média;Média Ponderada;5,023952;5,270492
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;0.Péssimo;Percentual;17,365000;17,073171
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;Nota 1;Percentual;1,796000;1,626016
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;Nota 2;Percentual;7,186000;4,878049
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;Nota 3;Percentual;3,593000;2,439024
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;Nota 4;Percentual;5,988000;10,569106
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;Nota 5;Percentual;17,964000;14,634146
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;Nota 6;Percentual;7,784000;4,065041
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;Nota 7;Percentual;13,174000;14,634146
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;Nota 8;Percentual;11,377000;13,821138
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;Nota 9;Percentual;5,988000;3,252033
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;10.Excelente;Percentual;7,784000;12,195122
SCM;Oi;CE;Resolução da alteração de plano ou condição comercial;99. NS/ NR;Percentual;0,000000;0,813008
SCM;Oi;CE;Contato sobre instalação;;Amostra não ponderada;401,000000;267,000000
SCM;Oi;CE;Contato sobre instalação;1.Sim;Percentual;11,471000;14,232210
SCM;Oi;CE;Contato sobre instalação;2.Não;Percentual;88,529000;85,767790
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;;Amostra não ponderada;46,000000;38,000000
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;Média;Média Ponderada;5,391304;5,763158
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;0.Péssimo;Percentual;13,043000;21,052632
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 1;Percentual;6,522000;0,000000
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 2;Percentual;2,174000;7,894737
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 3;Percentual;2,174000;0,000000
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 4;Percentual;6,522000;7,894737
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 5;Percentual;17,391000;2,631579
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 6;Percentual;8,696000;7,894737
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 7;Percentual;17,391000;10,526316
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 8;Percentual;10,870000;5,263158
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 9;Percentual;4,348000;15,789474
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;10.Excelente;Percentual;10,870000;21,052632
SCM;Oi;CE;Tempo de espera entre a solicitação de instalação e a visita do técnico;99. NS/ NR;Percentual;0,000000;0,000000
SCM;Oi;CE;Indicador de Reparo e Instalação;Reparo e Instalação;Média Indicadores;4,911439;5,574775
SCM;Oi;CE;Indicador de Reparo e Instalação;;Amostra não ponderada;271,000000;185,000000
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;;Amostra não ponderada;46,000000;38,000000
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;Média;Média Ponderada;5,956522;6,052632
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;0.Péssimo;Percentual;15,217000;21,052632
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;Nota 1;Percentual;0,000000;0,000000
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;Nota 2;Percentual;0,000000;5,263158
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;Nota 3;Percentual;0,000000;2,631579
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;Nota 4;Percentual;8,696000;5,263158
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;Nota 5;Percentual;19,565000;2,631579
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;Nota 6;Percentual;8,696000;5,263158
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;Nota 7;Percentual;10,870000;10,526316
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;Nota 8;Percentual;15,217000;5,263158
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;Nota 9;Percentual;4,348000;15,789474
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;10.Excelente;Percentual;17,391000;26,315789
SCM;Oi;CE;Cumprimento do prazo para instalação acordado;99. NS/ NR;Percentual;0,000000;0,000000
SCM;Oi;CE;Qualidade da instalação do serviço;Média;Média Ponderada;7,434783;7,000000
SCM;Oi;CE;Qualidade da instalação do serviço;;Amostra não ponderada;46,000000;38,000000
SCM;Oi;CE;Qualidade da instalação do serviço;0.Péssimo;Percentual;4,348000;13,157895
SCM;Oi;CE;Qualidade da instalação do serviço;Nota 1;Percentual;0,000000;0,000000
SCM;Oi;CE;Qualidade da instalação do serviço;Nota 2;Percentual;2,174000;5,263158
SCM;Oi;CE;Qualidade da instalação do serviço;Nota 3;Percentual;2,174000;0,000000
SCM;Oi;CE;Qualidade da instalação do serviço;Nota 4;Percentual;2,174000;2,631579
SCM;Oi;CE;Qualidade da instalação do serviço;Nota 5;Percentual;10,870000;7,894737
SCM;Oi;CE;Qualidade da instalação do serviço;Nota 6;Percentual;6,522000;0,000000
SCM;Oi;CE;Qualidade da instalação do serviço;Nota 7;Percentual;10,870000;5,263158
SCM;Oi;CE;Qualidade da instalação do serviço;Nota 8;Percentual;21,739000;21,052632
SCM;Oi;CE;Qualidade da instalação do serviço;Nota 9;Percentual;10,870000;13,157895
SCM;Oi;CE;Qualidade da instalação do serviço;10.Excelente;Percentual;28,261000;31,578947
SCM;Oi;CE;Qualidade da instalação do serviço;99. NS/ NR;Percentual;0,000000;0,000000
SCM;Oi;CE;Contato sobre reparo;;Amostra não ponderada;401,000000;267,000000
SCM;Oi;CE;Contato sobre reparo;1.Sim;Percentual;63,840000;63,670412
SCM;Oi;CE;Contato sobre reparo;2.Não;Percentual;36,160000;36,329588
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;Média;Média Ponderada;4,361111;5,153846
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;;Amostra não ponderada;256,000000;170,000000
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;0.Péssimo;Percentual;28,516000;19,411765
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;Nota 1;Percentual;2,344000;1,764706
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;Nota 2;Percentual;3,906000;4,705882
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;Nota 3;Percentual;4,297000;3,529412
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;Nota 4;Percentual;5,469000;5,294118
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;Nota 5;Percentual;16,797000;15,294118
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;Nota 6;Percentual;3,906000;9,411765
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;Nota 7;Percentual;7,422000;10,000000
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;Nota 8;Percentual;13,672000;12,941176
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;Nota 9;Percentual;5,469000;7,647059
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;10.Excelente;Percentual;6,641000;9,411765
SCM;Oi;CE;Tempo de espera entre a solicitação de reparo e a visita do técnico;99. NS/ NR;Percentual;1,562000;0,588235
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;Média;Média Ponderada;4,593750;5,235294
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;;Amostra não ponderada;256,000000;170,000000
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;0.Péssimo;Percentual;25,781000;18,823529
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;Nota 1;Percentual;2,734000;2,352941
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;Nota 2;Percentual;3,906000;5,294118
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;Nota 3;Percentual;5,859000;3,529412
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;Nota 4;Percentual;4,297000;4,705882
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;Nota 5;Percentual;16,016000;15,294118
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;Nota 6;Percentual;5,469000;8,823529
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;Nota 7;Percentual;10,156000;8,235294
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;Nota 8;Percentual;11,328000;12,941176
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;Nota 9;Percentual;5,078000;9,411765
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;10.Excelente;Percentual;9,375000;10,588235
SCM;Oi;CE;Cumprimento do prazo para reparo acordado;99. NS/ NR;Percentual;0,000000;0,000000
SCM;Oi;CE;Qualidade do reparo do serviço;Média;Média Ponderada;5,261719;5,814371
SCM;Oi;CE;Qualidade do reparo do serviço;;Amostra não ponderada;256,000000;170,000000
SCM;Oi;CE;Qualidade do reparo do serviço;0.Péssimo;Percentual;19,531000;12,941176
SCM;Oi;CE;Qualidade do reparo do serviço;Nota 1;Percentual;2,344000;0,588235
SCM;Oi;CE;Qualidade do reparo do serviço;Nota 2;Percentual;3,906000;5,294118
SCM;Oi;CE;Qualidade do reparo do serviço;Nota 3;Percentual;5,078000;3,529412
SCM;Oi;CE;Qualidade do reparo do serviço;Nota 4;Percentual;3,906000;5,294118
SCM;Oi;CE;Qualidade do reparo do serviço;Nota 5;Percentual;15,234000;12,352941
SCM;Oi;CE;Qualidade do reparo do serviço;Nota 6;Percentual;3,125000;8,235294
SCM;Oi;CE;Qualidade do reparo do serviço;Nota 7;Percentual;12,891000;15,294118
SCM;Oi;CE;Qualidade do reparo do serviço;Nota 8;Percentual;16,016000;15,882353
SCM;Oi;CE;Qualidade do reparo do serviço;Nota 9;Percentual;7,812000;5,294118
SCM;Oi;CE;Qualidade do reparo do serviço;10.Excelente;Percentual;10,156000;13,529412
SCM;Oi;CE;Qualidade do reparo do serviço;99. NS/ NR;Percentual;0,000000;1,764706
SCM;Oi;CE;Existe outra operadora que oferece o mesmo serviço no local;;Amostra não ponderada;401,000000;267,000000
SCM;Oi;CE;Existe outra operadora que oferece o mesmo serviço no local;1.Sim;Percentual;64,090000;63,670412
SCM;Oi;CE;Existe outra operadora que oferece o mesmo serviço no local;2.Não;Percentual;32,668000;32,209738
SCM;Oi;CE;Existe outra operadora que oferece o mesmo serviço no local;3.Não sabe (espontâneo);Percentual;3,242000;4,119850
SCM;Oi;CE;Indicador de Satisfação Geral;Média;Média Ponderada;5,705000;5,700375
SCM;Oi;CE;Indicador de Satisfação Geral;;Amostra não ponderada;401,000000;267,000000
SCM;Oi;CE;Indicador de Satisfação Geral;Satisfação geral;Média Indicadores;5,705000;5,700375
SCM;Oi;CE;Indicador de Satisfação Geral;;Amostra não ponderada;401,000000;267,000000
SCM;Oi;CE;Indicador de Satisfação Geral;0.Totalmente Insatisfeito;Percentual;7,731000;9,737828
SCM;Oi;CE;Indicador de Satisfação Geral;Nota 1;Percentual;2,244000;0,749064
SCM;Oi;CE;Indicador de Satisfação Geral;Nota 2;Percentual;3,990000;4,868914
SCM;Oi;CE;Indicador de Satisfação Geral;Nota 3;Percentual;4,489000;3,370787
SCM;Oi;CE;Indicador de Satisfação Geral;Nota 4;Percentual;5,736000;8,988764
SCM;Oi;CE;Indicador de Satisfação Geral;Nota 5;Percentual;22,444000;18,726592
SCM;Oi;CE;Indicador de Satisfação Geral;Nota 6;Percentual;8,978000;6,367041
SCM;Oi;CE;Indicador de Satisfação Geral;Nota 7;Percentual;16,459000;14,981273
SCM;Oi;CE;Indicador de Satisfação Geral;Nota 8;Percentual;15,461000;20,599251
SCM;Oi;CE;Indicador de Satisfação Geral;Nota 9;Percentual;4,738000;4,119850
SCM;Oi;CE;Indicador de Satisfação Geral;10.Totalmente Satisfeito;Percentual;7,481000;7,490637
SCM;Oi;CE;Indicador de Satisfação Geral;99. NS/ NR;Percentual;0,249000;0,000000
SCM;Oi;CE;Responsável pelo pagamento;;Amostra não ponderada;401,000000;267,000000
SCM;Oi;CE;Responsável pelo pagamento;1.Sim;Percentual;68,828000;64,419476
SCM;Oi;CE;Responsável pelo pagamento;2.Não;Percentual;31,172000;35,580524
SCM;Oi;DF;Canais de atendimento utilizados;;Amostra não ponderada;383,000000;247,000000
SCM;Oi;DF;Canais de atendimento utilizados;1.Atendimento telefônico;Percentual;80,940000;82,591000
SCM;Oi;DF;Canais de atendimento utilizados;2.Atendimento pela internet;Percentual;30,287000;31,984000
SCM;Oi;DF;Canais de atendimento utilizados;3.Atendimento na loja da operadora;Percentual;12,794000;11,741000
SCM;Oi;DF;Canais de atendimento utilizados;4.Nenhum destes canais;Percentual;13,838000;12,955000
SCM;Oi;DF;Tempo de espera para falar com o atendente;Média;Média Ponderada;4,896440;5,206897
SCM;Oi;DF;Tempo de espera para falar com o atendente;;Amostra não ponderada;310,000000;204,000000
SCM;Oi;DF;Tempo de espera para falar com o atendente;0.Péssimo;Percentual;16,452000;17,156863
SCM;Oi;DF;Tempo de espera para falar com o atendente;Nota 1;Percentual;2,581000;2,450980
SCM;Oi;DF;Tempo de espera para falar com o atendente;Nota 2;Percentual;7,419000;3,921569
SCM;Oi;DF;Tempo de espera para falar com o atendente;Nota 3;Percentual;8,387000;7,352941
SCM;Oi;DF;Tempo de espera para falar com o atendente;Nota 4;Percentual;8,065000;6,372549
SCM;Oi;DF;Tempo de espera para falar com o atendente;Nota 5;Percentual;12,903000;11,274510
SCM;Oi;DF;Tempo de espera para falar com o atendente;Nota 6;Percentual;5,161000;8,333333
SCM;Oi;DF;Tempo de espera para falar com o atendente;Nota 7;Percentual;11,290000;11,764706
SCM;Oi;DF;Tempo de espera para falar com o atendente;Nota 8;Percentual;15,484000;15,196078
SCM;Oi;DF;Tempo de espera para falar com o atendente;Nota 9;Percentual;4,516000;6,862745
SCM;Oi;DF;Tempo de espera para falar com o atendente;10.Excelente;Percentual;7,419000;8,823529
SCM;Oi;DF;Tempo de espera para falar com o atendente;99. NS/ NR;Percentual;0,323000;0,490196
SCM;Oi;DF;Indicador de Atendimento Telefônico;Atendimento Telefônico;Média Indicadores;5,549462;5,955882
SCM;Oi;DF;Indicador de Atendimento Telefônico;;Amostra não ponderada;310,000000;204,000000
SCM;Oi;DF;Necessidade de repetir a demanda;Média;Média Ponderada;5,609677;5,871287
SCM;Oi;DF;Necessidade de repetir a demanda;;Amostra não ponderada;310,000000;204,000000
SCM;Oi;DF;Necessidade de repetir a demanda;0.Péssimo;Percentual;10,000000;11,764706
SCM;Oi;DF;Necessidade de repetir a demanda;Nota 1;Percentual;2,258000;0,490196
SCM;Oi;DF;Necessidade de repetir a demanda;Nota 2;Percentual;3,871000;4,901961
SCM;Oi;DF;Necessidade de repetir a demanda;Nota 3;Percentual;8,387000;3,431373
SCM;Oi;DF;Necessidade de repetir a demanda;Nota 4;Percentual;5,161000;6,862745
SCM;Oi;DF;Necessidade de repetir a demanda;Nota 5;Percentual;19,355000;12,254902
SCM;Oi;DF;Necessidade de repetir a demanda;Nota 6;Percentual;7,419000;8,823529
SCM;Oi;DF;Necessidade de repetir a demanda;Nota 7;Percentual;11,290000;19,117647
SCM;Oi;DF;Necessidade de repetir a demanda;Nota 8;Percentual;16,774000;10,784314
SCM;Oi;DF;Necessidade de repetir a demanda;Nota 9;Percentual;4,194000;6,862745
SCM;Oi;DF;Necessidade de repetir a demanda;10.Excelente;Percentual;11,290000;13,725490
SCM;Oi;DF;Necessidade de repetir a demanda;99. NS/ NR;Percentual;0,000000;0,980392
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;;Amostra não ponderada;310,000000;204,000000
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Média;Média Ponderada;6,151613;6,754902
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;0.Péssimo;Percentual;7,097000;7,843137
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 1;Percentual;1,935000;1,960784
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 2;Percentual;6,452000;1,470588
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 3;Percentual;4,194000;2,450980
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 4;Percentual;4,194000;5,882353
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 5;Percentual;15,484000;9,313725
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 6;Percentual;7,419000;6,372549
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 7;Percentual;10,645000;12,745098
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 8;Percentual;22,258000;23,529412
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 9;Percentual;6,774000;6,862745
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;10.Excelente;Percentual;13,548000;21,568627
SCM;Oi;DF;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;99. NS/ NR;Percentual;0,000000;0,000000
SCM;Oi;DF;Nota para o atendimento telefônico;;Amostra não ponderada;310,000000;204,000000
SCM;Oi;DF;Nota para o atendimento telefônico;Média;Média Ponderada;6,248387;6,482759
SCM;Oi;DF;Nota para o atendimento telefônico;0.Péssimo;Percentual;7,742000;8,333333
SCM;Oi;DF;Nota para o atendimento telefônico;Nota 1;Percentual;0,645000;1,960784
SCM;Oi;DF;Nota para o atendimento telefônico;Nota 2;Percentual;7,097000;2,941176
SCM;Oi;DF;Nota para o atendimento telefônico;Nota 3;Percentual;5,806000;2,941176
SCM;Oi;DF;Nota para o atendimento telefônico;Nota 4;Percentual;2,581000;4,411765
SCM;Oi;DF;Nota para o atendimento telefônico;Nota 5;Percentual;14,839000;13,235294
SCM;Oi;DF;Nota para o atendimento telefônico;Nota 6;Percentual;6,129000;6,372549
SCM;Oi;DF;Nota para o atendimento telefônico;Nota 7;Percentual;9,677000;14,215686
SCM;Oi;DF;Nota para o atendimento telefônico;Nota 8;Percentual;20,968000;16,666667
SCM;Oi;DF;Nota para o atendimento telefônico;Nota 9;Percentual;9,355000;10,784314
SCM;Oi;DF;Nota para o atendimento telefônico;10.Excelente;Percentual;15,161000;17,647059
SCM;Oi;DF;Nota para o atendimento telefônico;99. NS/ NR;Percentual;0,000000;0,490196
SCM;Oi;DF;Indicador de Canais de Atendimento;Canais de Atendimento;Média Indicadores;6,231482;6,354460
SCM;Oi;DF;Indicador de Canais de Atendimento;;Amostra não ponderada;324,000000;213,000000
SCM;Oi;DF;Nota para o atendimento via internet;Média;Média Ponderada;6,258621;6,259740
SCM;Oi;DF;Nota para o atendimento via internet;;Amostra não ponderada;116,000000;79,000000
SCM;Oi;DF;Nota para o atendimento via internet;0.Péssimo;Percentual;2,586000;10,126582
SCM;Oi;DF;Nota para o atendimento via internet;Nota 1;Percentual;3,448000;0,000000
SCM;Oi;DF;Nota para o atendimento via internet;Nota 2;Percentual;2,586000;1,265823
SCM;Oi;DF;Nota para o atendimento via internet;Nota 3;Percentual;8,621000;3,797468
SCM;Oi;DF;Nota para o atendimento via internet;Nota 4;Percentual;5,172000;2,531646
SCM;Oi;DF;Nota para o atendimento via internet;Nota 5;Percentual;18,103000;10,126582
SCM;Oi;DF;Nota para o atendimento via internet;Nota 6;Percentual;8,621000;16,455696
SCM;Oi;DF;Nota para o atendimento via internet;Nota 7;Percentual;10,345000;15,189873
SCM;Oi;DF;Nota para o atendimento via internet;Nota 8;Percentual;18,966000;20,253165
SCM;Oi;DF;Nota para o atendimento via internet;Nota 9;Percentual;11,207000;8,860759
SCM;Oi;DF;Nota para o atendimento via internet;10.Excelente;Percentual;10,345000;8,860759
SCM;Oi;DF;Nota para o atendimento via internet;99. NS/ NR;Percentual;0,000000;2,531646
